OBJECTID,src_FID,nbr_FID
1,0,3
2,0,6
3,0,14
4,0,17
5,0,23
6,0,24
7,0,25
8,1,3
9,1,6
10,1,9
11,1,10
12,1,11
13,1,13
14,2,4
15,2,5
16,2,6
17,2,7
18,2,17
19,2,29
20,2,31
21,2,38
22,2,40
23,3,0
24,3,1
25,3,6
26,3,8
27,3,13
28,3,14
29,3,16
30,3,17
31,3,149
32,3,160
33,4,2
34,4,7
35,4,10
36,4,31
37,4,39
38,5,2
39,5,6
40,5,7
41,5,9
42,5,11
43,5,17
44,6,0
45,6,1
46,6,2
47,6,3
48,6,5
49,6,9
50,6,17
51,7,2
52,7,4
53,7,5
54,7,10
55,7,11
56,8,3
57,8,13
58,8,49
59,8,56
60,8,157
61,8,160
62,9,1
63,9,5
64,9,6
65,9,11
66,10,1
67,10,4
68,10,7
69,10,11
70,10,12
71,10,13
72,10,31
73,10,39
74,11,1
75,11,5
76,11,7
77,11,9
78,11,10
79,12,10
80,12,13
81,12,35
82,12,39
83,12,42
84,12,43
85,12,46
86,12,56
87,13,1
88,13,3
89,13,8
90,13,10
91,13,12
92,13,56
93,14,0
94,14,3
95,14,16
96,14,25
97,14,151
98,15,17
99,15,19
100,15,20
101,15,23
102,15,85
103,15,89
104,15,96
105,16,3
106,16,14
107,16,149
108,16,151
109,16,161
110,17,0
111,17,2
112,17,3
113,17,5
114,17,6
115,17,15
116,17,23
117,17,29
118,17,85
119,17,93
120,18,21
121,18,94
122,18,95
123,19,15
124,19,20
125,19,88
126,19,92
127,19,95
128,19,96
129,20,15
130,20,19
131,20,21
132,20,23
133,20,26
134,20,28
135,20,95
136,21,18
137,21,20
138,21,22
139,21,26
140,21,27
141,21,90
142,21,94
143,21,95
144,22,21
145,22,26
146,22,27
147,22,60
148,22,65
149,22,83
150,22,90
151,22,94
152,23,0
153,23,15
154,23,17
155,23,20
156,23,24
157,23,28
158,24,0
159,24,23
160,24,25
161,24,28
162,25,0
163,25,14
164,25,24
165,25,27
166,25,28
167,25,71
168,25,151
169,26,20
170,26,21
171,26,22
172,26,27
173,26,28
174,27,21
175,27,22
176,27,25
177,27,26
178,27,28
179,27,65
180,27,71
181,28,20
182,28,23
183,28,24
184,28,25
185,28,26
186,28,27
187,29,2
188,29,17
189,29,33
190,29,38
191,29,40
192,29,93
193,30,33
194,30,37
195,30,40
196,30,88
197,30,136
198,30,141
199,30,143
200,31,2
201,31,4
202,31,10
203,31,34
204,31,38
205,31,39
206,32,34
207,32,39
208,32,41
209,32,133
210,32,139
211,33,29
212,33,30
213,33,37
214,33,40
215,33,91
216,33,93
217,34,31
218,34,32
219,34,38
220,34,39
221,34,139
222,35,12
223,35,39
224,35,41
225,35,42
226,36,43
227,36,44
228,36,46
229,36,97
230,36,114
231,37,30
232,37,33
233,37,88
234,37,91
235,38,2
236,38,29
237,38,31
238,38,34
239,38,40
240,38,139
241,38,143
242,39,4
243,39,10
244,39,12
245,39,31
246,39,32
247,39,34
248,39,35
249,39,41
250,39,42
251,40,2
252,40,29
253,40,30
254,40,33
255,40,38
256,40,136
257,40,139
258,40,143
259,41,32
260,41,35
261,41,39
262,41,42
263,41,43
264,41,44
265,41,133
266,41,139
267,42,12
268,42,35
269,42,39
270,42,41
271,42,43
272,43,12
273,43,36
274,43,41
275,43,42
276,43,44
277,43,46
278,44,36
279,44,41
280,44,43
281,44,97
282,44,133
283,44,148
284,45,48
285,45,49
286,45,52
287,45,157
288,46,12
289,46,36
290,46,43
291,46,49
292,46,50
293,46,53
294,46,56
295,46,114
296,47,49
297,47,51
298,47,52
299,47,53
300,47,54
301,47,55
302,48,45
303,48,52
304,48,78
305,48,157
306,49,8
307,49,45
308,49,46
309,49,47
310,49,52
311,49,53
312,49,56
313,49,157
314,50,46
315,50,53
316,50,55
317,50,103
318,50,108
319,50,114
320,51,47
321,51,54
322,51,55
323,52,45
324,52,47
325,52,48
326,52,49
327,52,54
328,52,78
329,52,81
330,53,46
331,53,47
332,53,49
333,53,50
334,53,55
335,54,47
336,54,51
337,54,52
338,54,81
339,55,47
